70670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
